Flight,from,Airline,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sun,"Valid
date"
,,,Arrival time,Arrival time,Arrival time,Arrival time,Arrival time,Arrival time,Arrival time,
JJA5257,Busan,jeju,0:35,,,0:35,0:35,,0:35,2026-03-29 - 2026-10-24
ABL411,Busan,airbusan,,,0:50,,,0:50,,2026-03-31 - 2026-10-24
JNA781,Busan,jinair,,0:30,,,,0:30,,2026-05-22 - 2026-10-24
