Flight,To,Airline,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sun,"Valid
date"
,,,Departure time,Departure time,Departure time,Departure time,Departure time,Departure time,Departure time,
JJA5258,Busan,,1:35,,,1:35,1:35,,1:35,2026-03-29 - 2026-10-24
ABL412,Busan,,,,1:50,,,1:50,,2026-03-31 - 2026-10-24
JNA782,Busan,,,1:30,,,,1:30,,2026-05-22 - 2026-10-24
